name,file,sandbox_mode,instruction_lines,total_lines,sha256
orchestrator,.codex/agents/00-orchestrator.toml,workspace-write,406,413,fa6df112c0bc6ace4f049e8610cb65abd7832336ce93c21c469c4623210d8cd7
code_explorer,.codex/agents/01-code-explorer.toml,read-only,401,408,294b09ccde83c043d8fb77161e6da0f5992f9c94bfae1e4cac099091cb8f60ef
requirements_traceability,.codex/agents/02-requirements-traceability.toml,workspace-write,404,411,789d5bf1a17569b937b405dd35621c7ce9f1c99b5dc5098bddf3c3fab9ef09b1
architecture,.codex/agents/03-architecture.toml,workspace-write,413,420,5beabea06447d1134ce23589107d39753084bc44e09c4c6a4bcd4393021415b5
ux_operations,.codex/agents/04-ux-operations.toml,workspace-write,411,418,410fb244ade9f5f941e3a13fe13c556159cb72cefed3d398d6a8d9efe811ca99
domain_model,.codex/agents/05-domain-model.toml,workspace-write,408,415,ab18e87d4ab0ea1323a06c21784ae92aaa1f0b75e34f055942229639c5773edc
database,.codex/agents/06-database.toml,workspace-write,413,420,67b954c63b748a02c8a591bb62f5dd88de7207e2da7f1bdb9c31df7c86aa3999
api_integration,.codex/agents/07-api-integration.toml,workspace-write,411,418,9ae218dd3b50c0951ac0b4fcfefa666955e74b17c79757e4158d624bf04b724d
security,.codex/agents/08-security.toml,read-only,416,423,5c00d47065605c03550415d04abc809e13f536b0c8e65f2d3cb63342650599fd
testing_quality,.codex/agents/09-testing-quality.toml,workspace-write,412,419,edfbf2f9aedb107b61a7a460cf7bff52ace6ccac55ba593b3e7480df3bf898bf
comex,.codex/agents/10-comex.toml,workspace-write,422,429,56b7611b619fa673568f55fa0f78486110a04d36e6a7cfe35508455bf23cabea
landed_cost,.codex/agents/11-landed-cost.toml,workspace-write,413,420,167359e5c06314732a089abee9ecf35dc7f8b535cc7a42f0d1b3528977d13d54
fiscal,.codex/agents/12-fiscal.toml,workspace-write,420,427,740b50b2c98e3a9b183f13ad387ecb00d72809b76baa167d6e53a67a55c397f6
accounting,.codex/agents/13-accounting.toml,workspace-write,423,430,7fde8fec5689026ef0b032b1eabc1d6c25546d28446a46b3ab3f7bae85cb765e
inventory_treasury,.codex/agents/14-inventory-treasury.toml,workspace-write,426,433,505b79d60fc1506ae64b8f8106bfa230fe6ce9047a8e0e76ea56b17ac65c6b40
commercial,.codex/agents/15-commercial.toml,workspace-write,429,436,2fd4109d7430042d73387f29b8c8b34a87751211e0b84b9630fca5bf0ad8bacb
procurement_crm,.codex/agents/16-procurement-crm.toml,workspace-write,436,443,d5190e8ca07fc95c2416f2e0a099cf17afa1c7f9e94f4fd491f182f17adf3779
platform_devops,.codex/agents/17-platform-devops.toml,workspace-write,434,441,b6d3ec2ad6211acb51ed5d402ca85d417fd77d382a9f270d8860cfb80e2b7861
migration_release,.codex/agents/18-migration-release.toml,workspace-write,425,432,27be37fdd31279522cddc4bb6c9ca396ceb56bb0d6640fd08320af69ec970d91
pr_reviewer,.codex/agents/19-pr-reviewer.toml,read-only,415,422,2d16d0b8da2d2f22d22376f0c1c67f72864db97193fd65682f4f90da719f2482
contradiction_researcher,.codex/agents/20-contradiction-researcher.toml,read-only,408,415,96a4682a300b93e192b03fb21b2f976eca3ba2a3712d70145ab6616b20de400f
