level,unit_id,module,name,questions,path,linked_pr,linked_submodule
MODULE,M-COMEX,COMEX,COMEX,500,05-questionarios/05-corpus-71500/01-modulos/COMEX/M-COMEX_500_PERGUNTAS.md,,
MODULE,M-LANDED,Landed cost,Landed cost,500,05-questionarios/05-corpus-71500/01-modulos/LANDED/M-LANDED_500_PERGUNTAS.md,,
MODULE,M-FISCAL,Fiscal,Fiscal,500,05-questionarios/05-corpus-71500/01-modulos/FISCAL/M-FISCAL_500_PERGUNTAS.md,,
MODULE,M-ACCOUNTING,Contábil — fundação,Contábil — fundação,500,05-questionarios/05-corpus-71500/01-modulos/ACCOUNTING/M-ACCOUNTING_500_PERGUNTAS.md,,
MODULE,M-INVENTORY,Estoque,Estoque,500,05-questionarios/05-corpus-71500/01-modulos/INVENTORY/M-INVENTORY_500_PERGUNTAS.md,,
MODULE,M-TREASURY,Tesouraria,Tesouraria,500,05-questionarios/05-corpus-71500/01-modulos/TREASURY/M-TREASURY_500_PERGUNTAS.md,,
MODULE,M-SALES,Comercial,Comercial,500,05-questionarios/05-corpus-71500/01-modulos/SALES/M-SALES_500_PERGUNTAS.md,,
MODULE,M-PURCHASING,Compras,Compras,500,05-questionarios/05-corpus-71500/01-modulos/PURCHASING/M-PURCHASING_500_PERGUNTAS.md,,
MODULE,M-CRM,CRM,CRM,500,05-questionarios/05-corpus-71500/01-modulos/CRM/M-CRM_500_PERGUNTAS.md,,
MODULE,M-CLOSE,Fechamento contábil transversal,Fechamento contábil transversal,500,05-questionarios/05-corpus-71500/01-modulos/CLOSE/M-CLOSE_500_PERGUNTAS.md,,
MODULE,M-PLATFORM,Plataforma,Plataforma,500,05-questionarios/05-corpus-71500/01-modulos/PLATFORM/M-PLATFORM_500_PERGUNTAS.md,,
MODULE,M-COMP,Módulos complementares,Módulos complementares,500,05-questionarios/05-corpus-71500/01-modulos/COMP/M-COMP_500_PERGUNTAS.md,,
MODULE,M-QA,"Testes, migração e implantação","Testes, migração e implantação",500,05-questionarios/05-corpus-71500/01-modulos/QA/M-QA_500_PERGUNTAS.md,,
SUBMODULE,SM-COMEX-01,COMEX,Pedido internacional e produção,500,05-questionarios/05-corpus-71500/02-submodulos/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODUCAO_500_PERGUNTAS.md,PR-COMEX-01,
PR,PR-COMEX-01,COMEX,Pedido internacional e produção,500,05-questionarios/05-corpus-71500/03-prs/COMEX/PR-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODUCAO_500_PERGUNTAS.md,,SM-COMEX-01
SUBMODULE,SM-COMEX-02,COMEX,"Embarque, booking, BL e contêiner",500,05-questionarios/05-corpus-71500/02-submodulos/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONTEINER_500_PERGUNTAS.md,PR-COMEX-02,
PR,PR-COMEX-02,COMEX,"Embarque, booking, BL e contêiner",500,05-questionarios/05-corpus-71500/03-prs/COMEX/PR-COMEX-02_EMBARQUE_BOOKING_BL_E_CONTEINER_500_PERGUNTAS.md,,SM-COMEX-02
SUBMODULE,SM-COMEX-03,COMEX,Despacho e regimes aduaneiros,500,05-questionarios/05-corpus-71500/02-submodulos/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS_500_PERGUNTAS.md,PR-COMEX-03,
PR,PR-COMEX-03,COMEX,Despacho e regimes aduaneiros,500,05-questionarios/05-corpus-71500/03-prs/COMEX/PR-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS_500_PERGUNTAS.md,,SM-COMEX-03
SUBMODULE,SM-COMEX-04,COMEX,"Documentos, OCR, ocorrências e prazos",500,05-questionarios/05-corpus-71500/02-submodulos/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORRENCIAS_E_PRAZOS_500_PERGUNTAS.md,PR-COMEX-04,
PR,PR-COMEX-04,COMEX,"Documentos, OCR, ocorrências e prazos",500,05-questionarios/05-corpus-71500/03-prs/COMEX/PR-COMEX-04_DOCUMENTOS_OCR_OCORRENCIAS_E_PRAZOS_500_PERGUNTAS.md,,SM-COMEX-04
SUBMODULE,SM-COMEX-05,COMEX,"Recebimento, devolução e fechamento",500,05-questionarios/05-corpus-71500/02-submodulos/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLUCAO_E_FECHAMENTO_500_PERGUNTAS.md,PR-COMEX-05,
PR,PR-COMEX-05,COMEX,"Recebimento, devolução e fechamento",500,05-questionarios/05-corpus-71500/03-prs/COMEX/PR-COMEX-05_RECEBIMENTO_DEVOLUCAO_E_FECHAMENTO_500_PERGUNTAS.md,,SM-COMEX-05
SUBMODULE,SM-LANDED-01,Landed cost,Catálogo de componentes e elegibilidade,500,05-questionarios/05-corpus-71500/02-submodulos/LANDED/SM-LANDED-01_CATALOGO_DE_COMPONENTES_E_ELEGIBILIDADE_500_PERGUNTAS.md,PR-LANDED-01,
PR,PR-LANDED-01,Landed cost,Catálogo de componentes e elegibilidade,500,05-questionarios/05-corpus-71500/03-prs/LANDED/PR-LANDED-01_CATALOGO_DE_COMPONENTES_E_ELEGIBILIDADE_500_PERGUNTAS.md,,SM-LANDED-01
SUBMODULE,SM-LANDED-02,Landed cost,Pools provisórios e documentos,500,05-questionarios/05-corpus-71500/02-submodulos/LANDED/SM-LANDED-02_POOLS_PROVISORIOS_E_DOCUMENTOS_500_PERGUNTAS.md,PR-LANDED-02,
