module_code,module,submodule_code,submodule,function_no,function,pr_id,module_blueprint,submodule_blueprint
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,1,"Criar o pedido internacional e suas linhas por SKU, quantidade, preço, moeda e Incoterm.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,2,"Vincular fornecedor, exportador, fabricante, proforma e condições de pagamento.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,3,"Executar workflow de aprovação, envio ao fornecedor, confirmação e alteração controlada.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,4,"Controlar cronograma de produção, datas prometidas, produção parcial e saldo pendente.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,5,Registrar versões da proforma e impedir duplicidade do mesmo pedido/documento.,PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,6,Importar itens em massa por Excel e reaproveitar o cadastro mestre de SKUs.,PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,7,"Exibir status, atrasos, próximas ações, responsáveis e exceções em uma única página.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,8,"Gerar eventos para previsão de caixa, documentos, embarque e auditoria.",PR-COMEX-01,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-01_PEDIDO_INTERNACIONAL_E_PRODU_O.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",1,Comparar opções de frete e registrar a escolha do booking.,PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",2,Criar um ou vários embarques a partir do mesmo pedido internacional.,PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",3,"Controlar contêineres, tipos, lacres, volumes, peso, cubagem e linhas transportadas.",PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",4,"Registrar ETD, ETA, porto de origem, transbordos, porto de destino e transportador.",PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",5,Gerenciar BL master/house e suas versões.,PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",6,"Conferir commercial invoice, packing list, BL e saldos embarcados.",PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",7,"Tratar embarques parciais, alteração de navio, rollover, atraso e cancelamento.",PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",8,"Emitir alertas de chegada, free time, documentos faltantes e divergências.",PR-COMEX-02,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-02_EMBARQUE_BOOKING_BL_E_CONT_INER.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,1,"Abrir e controlar despacho aduaneiro por embarque, contêiner e mercadoria.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,2,"Selecionar e manter separados os regimes de importação definitiva, trânsito, ZPA e Zona Franca.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,3,"Registrar NCM/posição tarifária, origem, valor aduaneiro e dados do despacho.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,4,"Controlar canal aduaneiro, exigências, verificações, bloqueios, garantias e liberações.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,5,"Registrar direitos de importação, taxa estatística, arancel SIM e demais conceitos aduaneiros.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,6,"Vincular despachante, aduana, terminal, depósito fiscal e documentos apresentados.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,7,Manter histórico de retificações e eventos sem sobrescrever o despacho original.,PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,8,"Gerar eventos fiscais, contábeis, de landed cost e de entrada em estoque.",PR-COMEX-03,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-03_DESPACHO_E_REGIMES_ADUANEIROS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",1,"Receber documentos por upload, e-mail, API ou importação em lote.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",2,"Classificar proforma, invoice, packing list, BL, booking, despacho, comprovantes e faturas de gastos.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",3,Extrair campos e itens por OCR com confiança por campo e revisão humana.,PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",4,"Associar automaticamente documentos ao pedido, fornecedor, contêiner e despacho.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",5,"Comparar documentos e abrir divergências por quantidade, valor, SKU, peso ou identificação.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",6,"Abrir ocorrências, atribuir responsável, prazo, prioridade, evidência e resolução.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",7,"Controlar vencimentos, ETA, free time, devolução, pagamentos e documentos faltantes.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",8,"Manter versionamento, trilha de auditoria, busca integral e visualização lado a lado.",PR-COMEX-04,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-04_DOCUMENTOS_OCR_OCORR_NCIAS_E_PRAZOS.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",1,"Registrar chegada, descarga, desconsolidação e confirmação do depósito.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",2,"Conferir quantidade recebida contra packing list, despacho e contêiner.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",3,"Tratar faltas, sobras, avarias, mercadoria bloqueada e ocorrências com operador.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",4,"Gerar entrada em estoque por SKU, despacho, contêiner e camada de custo.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",5,Controlar prazo e comprovante de devolução do contêiner.,PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",6,Registrar gastos finais e custos tardios vinculados à importação.,PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",7,"Validar checklist de encerramento operacional, documental, financeiro e aduaneiro.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",8,"Reabrir a importação com permissão, motivo e histórico completo.",PR-COMEX-05,docs/blueprint-master/modules/01_COMEX_COMEX.md,docs/blueprint-master/submodules/COMEX/SM-COMEX-05_RECEBIMENTO_DEVOLU_O_E_FECHAMENTO.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,1,Manter catálogo versionado de componentes de custo e sua natureza.,PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,2,"Classificar cada componente como elegível ou não para custo contábil, gerencial e cash-out.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,3,"Separar valores líquidos, IVA, percepções, retenções e créditos recuperáveis.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,4,"Definir vigência, moeda, fornecedor, centro de custo e regra padrão de rateio.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,5,"Distinguir frete, seguro, porto, despachante, linha marítima, operador, transporte e direitos aduaneiros.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,6,"Permitir ativação, desativação e nova versão sem apagar o histórico.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,7,"Validar combinação de componente, documento, regime e base de custo.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,8,"Expor o catálogo para compras, COMEX, fiscal, contabilidade e relatórios.",PR-LANDED-01,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-01_CAT_LOGO_DE_COMPONENTES_E_ELEGIBILIDADE.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,1,"Criar pool de custo por importação, despacho, contêiner ou agrupamento configurado.",PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,2,"Incorporar estimativas, provisões, faturas e documentos aduaneiros.",PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,3,"Controlar valores estimados, confirmados, cancelados e pendentes.",PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,4,Converter moedas pela taxa do evento e preservar moeda original e taxa utilizada.,PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,5,Evitar duplicidade de fatura ou componente dentro do pool.,PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,6,Exibir documentos faltantes e diferenças entre estimativa e valor real.,PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,7,Submeter o pool para revisão e aprovação.,PR-LANDED-02,docs/blueprint-master/modules/02_LANDED_LANDED_COST.md,docs/blueprint-master/submodules/LANDED/SM-LANDED-02_POOLS_PROVIS_RIOS_E_DOCUMENTOS.md
